"index", "question"
"P1", "Me hace feliz ser capaz de ayudar a los demás."
"P2", "Me gusta guiar a los demás en las situaciones nuevas."
"P3", "Me gusta compartir mi conocimiento con los demás."
"P4", "El bienestar de los demás es importante para mí."
"S1", "Interactuar con los demás es importante para mí."
"S2", "Me gusta formar parte de un equipo."
"S3", "Sentir que formo parte de una comunidad es importante para mí."
"S4", "Disfruto con las actividades grupales."
"F1", "Seguir mi propio camino es muy importante para mí."
"F2", "A menudo me dejo guiar por la curiosidad."
"F3", "Ser independiente es importante para mí."
"F4", "Tener la oportunidad de expresarme es importante para mí."
"A1", "Me gusta superar las dificultades."
"A2", "Me gusta dominar tareas difíciles."
"A3", "Mejorar continuamente mis habilidades es importante para mí."
"A4", "Me gusta salir victorioso de las circunstancias difíciles."
"R1", "Me gustan las competiciones en las que se pueda ganar un premio."
"R2", "Los premios son una buena manera de motivarme."
"R3", "Recuperar lo invertido es importante para mí."
"R4", "Si el premio es adecuado, voy a hacer un esfuerzo."
"D1", "Me gusta provocar."
"D2", "Me gusta cuestionar el estado de las cosas."
"D3", "Me describo a mí mismo como un rebelde."
"D4", "No me gusta seguir las reglas."
